	h_1, см	h_2, см		J, кг*м^2	dM/da, Н*м	T, c
1	16.5			0.002693114	0.1304919	0.902641839
2	16.5	15.5		0.004631932	0.0079086	4.808516685
3	16.5	14.5		0.004389832	0.0158172	3.310083815
4	16.5	13.5		0.004163872	0.0237258	2.632195214
5	16.5	11.5		0.003760372	0.039543	1.937583544
6	16.5	9.5		0.003421432	0.0553602	1.562014165
7	16.5	7.5		0.003147052	0.0711774	1.321176176
8	16.5	5.5		0.002937232	0.0869946	1.154523585
9	16.5	3.5		0.002791972	0.1028118	1.03541363
10	16.5	2.8		0.002756383	0.10834782	1.002165725
11	15.5	2.8		0.002498143	0.10043922	0.990915982
